Countries,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,Cause
Republic of Moldova,1111.3,1109.3,1083.2,1155.6,1167.3,1314.8,1276.9,1263.0,1301.8,1377.7,1472.8,1384.0,1430.3,1425.5,1384.4,1427.8 ,All
Reunion,,,546.1,558.1,566.7,621.1,642.1,657.9,643.4,746.8,790.9,712.8,790.8,827.4,782.8, ,All
Rodrigues,,,,,,,,,,,,,,,, ,All
Romania,832.6,827.1,824.3,892.8,896.0,947.3,960.3,962.3,965.8,1004.2,1037.2,1057.8,1104.7,1124.8,1074.7,1066.7 ,All
Russian Federation,,,,,1299.8,1393.5,1412.9,1478.9,1502.5,1586.6,1724.8,1728.4,1783.3,1726.7,1686.9,1679.2 ,All
Saint Kitts and Nevis,,,,,,,,,,,,,,,, ,All
Saint Lucia,,,,,,,,,,,,,,,, ,All
Saint Pierre and Miquelon,,,,,,,,,,,,,,,, ,All
Saint Vincent and Grenadines,,,,,,,,,,,,,,,, ,All
San Marino,,,,,,,,,,,,,,,, ,All
Sao Tome and Principe,,,,,,,,,,,,,,,, ,All
Saudi Arabia,,,,,,,,,,,,,,,, ,All
Serbia,,821.8,833.5,858.6,880.5,875.6,898.6,902.3,929.0,939.2,995.7,997.7,1014.3,1025.6,1013.2,1081.2 ,All
Seychelles,,,,,,,,,,,,,,,, ,All
Singapore,406.9,416.9,429.8,437.2,449.4,463.3,469.4,495.6,523.7,490.6,511.4,524.2,561.2,566.9,576.8,612.4 ,All
Slovakia,,773.8,801.1,821.8,,878.6,888.2,923.1,946.6,962.5,981.0,968.8,1001.8,998.8,1023.6,1028.1 ,All
Slovenia,546.6,,571.8,580.4,591.3,610.9,635.1,647.4,695.6,707.2,747.4,769.2,838.7,824.3,837.0,842.2 ,All
South Africa,,1333.5,1345.6,1446.5,1536.3,1644.6,1772.3,1834.7,1839.7,1874.0,1856.5,1820.2,1856.6,1746.6,, ,All
Spain,,441.6,448.4,473.6,480.2,488.6,504.4,521.2,540.5,540.5,577.0,576.8,608.4,606.1,612.1,626.6 ,All
Sri Lanka,,,,,,,,,,829.0,,,870.9,866.9,898.7,944.9 ,All
Suriname,,,,,,,,,,,,,,,, ,All
Sweden,443.1,433.0,444.4,455.6,456.8,468.6,475.8,487.6,494.8,505.8,521.3,527.8,545.3,556.6,562.0,571.7 ,All
Switzerland,,,420.0,423.4,428.5,437.0,450.2,453.7,468.0,477.2,498.8,501.6,532.7,530.3,554.9,575.2 ,All
Syrian Arab Republic,,,,,,,,,,,,,,,, ,All
Tajikistan,,,,,,,,,,,,,,,, ,All
TFYR Macedonia,,,806.2,852.9,834.0,849.3,861.6,871.5,925.1,908.2,917.3,926.6,968.4,977.1,932.5,955.7 ,All
Thailand,,714.0,731.1,743.3,764.8,783.4,768.6,789.4,790.3,726.7,761.8,775.3,782.3,811.5,,816 ,All
Trinidad and Tobago,,,,,,988.8,944.9,1040.8,976.4,1008.0,1084.3,1083.0,1144.5,1090.6,1127.4,1112.2 ,All
Tunisia,,,,,,,,,,,,,,,, ,All
Turkey,,,617.6,572.1,580.3,566.0,568.9,,,,,,,,, ,All
Turkmenistan,,1077.5,1060.0,1020.9,1043.1,1071.1,1066.9,1136.8,1161.3,1159.7,1217.1,1156.2,1190.0,1205.4,1138.5,1185.4 ,All
Turks and Caicos Islands,,,,,,,,,,,,,,,, ,All
Ukraine,,1184.3,,1191.5,1204.4,1277.3,1326.4,1468.4,1504.4,1488.9,1560.7,1520.3,1512.3,1510.7,1447.1,1474.7 ,All
United Arab Emirates,,,,,,455.0,484.7,488.4,554.7,510.9,544.2,,,,, ,All
United Kingdom,,,481.4,482.0,483.6,502.4,515.8,538.6,547.5,559.6,578.0,594.6,626.4,635.4,643.7,653 ,All
United States of America,,559.8,562.5,562.5,569.0,574.9,581.9,599.4,606.8,615.1,630.2,632.0,656.2,667.3,676.3,690.8 ,All
Uruguay,,733.6,753.3,778.8,,788.9,765.3,766.3,842.0,794.4,827.3,847.7,877.0,847.5,856.7,865.8 ,All
Uzbekistan,,884.4,875.6,903.0,900.9,891.5,877.9,,,,1048.3,995.0,1050.5,1072.1,1052.0,1096.7 ,All
Venezuela (Bolivarian Republic of),,,782.4,800.9,791.4,794.3,791.4,812.9,797.9,780.9,776.8,791.4,839.5,772.1,815.8,810.7 ,All
Virgin Islands (USA),,,,,,,,,,,,,,,, ,All
Zimbabwe,,,,,,,,,,,,,,,, ,All
Total reporting countries,,,,,,,,,,,,,,,, ,All
