Country-years:
   South Africa (2014,2013,2012,2011,2010,2009,2008,2007)
   United States of America (2014,2013,2012,2011,2010,2009,2008,2007)
   Japan (2014,2013,2012,2011,2010,2009,2008,2007)
   Finland (2014,2013,2012,2011,2010,2009,2008,2007)
   Germany (2014,2013,2012,2011,2010,2009,2008,2007)
   Netherlands (2014,2013,2012,2011,2010,2009,2008,2007)
   Norway (2014,2013,2012,2011,2010,2009,2008,2007)
   Sweden (2014,2013,2012,2011,2010,2009,2008,2007)
   United Kingdom (2013,2012,2011,2009,2008,2007)
Cause groups:
  A:C00-D48
  B:TOT
Sex: All sexes
Data source: WHO mortality database
Date: Tue Oct 31 13:08:12 CET 2017
Country,Year,ICD rev and list,Cause group,Sex,Format,Sum of selected ages,< 1 year,1 year,2 years,3 years,4 years,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 95,95 +,Unknown
Sweden,2012,104,B,F,00,47672,127,7,6,6,4,13,26,50,68,63,94,174,215,422,643,935,1593,2736,3115,4528,7412,10795,9853,4787,0
Sweden,2012,104,A,F,00,11114,2,1,0,3,4,3,6,10,8,18,32,67,100,204,346,520,853,1370,1417,1612,1760,1616,886,276,0
Sweden,2012,104,B,M,00,44318,167,11,9,6,10,22,25,88,213,224,195,242,355,628,905,1465,2459,3931,4548,5703,7735,8365,5425,1587,0
Sweden,2012,104,A,M,00,11989,1,2,2,0,5,8,7,14,14,25,28,43,82,147,278,506,933,1544,1738,1893,2141,1681,768,129,0
United Kingdom,2012,104,A,F,00,78753,7,9,11,14,10,43,41,44,76,153,301,467,1026,1890,2948,4236,6418,8599,9802,11450,12644,10750,5960,1854,0
United Kingdom,2012,104,B,M,00,273347,1912,134,74,42,46,177,203,668,1094,1353,1749,2359,3920,5788,7837,11018,17196,24202,29871,39124,47208,43998,25432,7942,0
United Kingdom,2012,104,A,M,00,87056,11,10,10,8,15,47,45,70,92,130,221,342,704,1453,2574,4470,7724,11016,12723,14615,14446,10631,4724,975,0
United Kingdom,2012,104,B,F,00,295677,1435,104,43,45,35,148,137,291,456,629,912,1331,2395,3902,5547,7718,11816,16899,22061,32711,49083,60080,51057,26842,0
United States of America,2012,104,B,F,00,1269559,10490,727,459,359,278,1016,1150,2850,4876,6041,7767,10004,16229,27092,43157,57235,71420,86575,100836,129512,180235,222936,185024,103244,47
United States of America,2012,104,B,M,00,1273720,13139,900,620,461,414,1318,1716,7224,14232,14951,15832,17368,25561,41387,67827,91743,109208,118915,126020,142424,168257,161326,99249,33528,100
