Country,Cause group,Year,ICD rev and list,Format,Sum of selected ages,< 1 year,1 year,2 years,3 years,4 years,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 95,95 +,Unknown
Netherlands,B,2008,208,0,135136,698,48,32.0,37.0,30.0,76,102,223,344,379,473,913,1540,2522,3919,5816,8543,9629,12997,18845,23815,23786,14490.0,5879.0,0
Netherlands,B,2009,208,0,134235,711,51,37.0,28.0,20.0,95,95,238,313,373,437,833,1483,2439,3898,5581,8735,9776,13025,18360,23495,24227,14063.0,5922.0,0
Netherlands,B,2010,208,0,136058,695,50,35.0,23.0,28.0,76,97,211,311,318,474,774,1385,2390,3821,5689,8747,10266,12957,18508,23298,24605,15042.0,6258.0,0
Netherlands,B,2011,208,0,135741,654,38,34.0,21.0,11.0,73,106,217,327,356,445,754,1378,2426,3756,5635,8474,10299,12940,17849,23554,24463,15620.0,6311.0,0
Netherlands,B,2012,208,0,140813,649,51,31.0,23.0,22.0,95,99,199,330,336,489,649,1336,2362,3775,5642,8393,11198,13255,17948,24134,25374,17528.0,6895.0,0
Netherlands,B,2013,208,0,141245,645,37,20.0,20.0,16.0,70,88,216,294,381,396,649,1262,2187,3728,5558,8180,11839,13265,17582,24019,25564,18146.0,7083.0,0
Netherlands,B,2014,208,0,139223,630,38,20.0,21.0,20.0,75,100,226,266,364,444,614,1232,2152,3647,5336,7880,11729,13285,17286,23307,24875,18699.0,6977.0,0
Norway,A,2007,208,0,10891,0,3,1.0,0.0,0.0,7,8,11,12,14,28,57,120,226,396,648,1075,1130,1258,1749,1863,1511,618.0,156.0,0
Norway,A,2008,208,0,10886,1,2,4.0,1.0,1.0,7,11,10,12,24,37,69,105,216,403,616,1079,1125,1287,1733,1891,1487,615.0,150.0,0
Norway,A,2009,208,0,10822,1,3,0.0,1.0,2.0,7,4,9,11,17,31,77,120,213,401,616,1077,1162,1265,1628,1854,1497,660.0,166.0,0
Norway,A,2010,208,0,11163,1,2,0.0,2.0,2.0,6,6,15,14,18,36,56,100,203,368,658,1076,1352,1313,1620,1820,1562,737.0,196.0,0
Norway,A,2011,208,0,11099,2,0,1.0,3.0,1.0,9,8,8,14,20,37,63,94,233,354,678,992,1315,1319,1583,1864,1505,784.0,212.0,0
Norway,A,2012,208,0,11062,3,2,0.0,3.0,1.0,8,10,8,8,15,28,60,108,209,343,619,984,1374,1429,1491,1861,1494,806.0,198.0,0
Norway,A,2013,208,0,10825,2,1,0.0,1.0,2.0,8,3,13,12,18,31,58,120,193,329,590,991,1455,1376,1488,1749,1449,761.0,175.0,0
Norway,A,2014,208,0,11088,1,1,3.0,2.0,1.0,9,7,7,9,15,28,70,133,205,359,600,894,1443,1452,1602,1707,1459,874.0,207.0,0
Norway,B,2007,208,0,41963,185,15,13.0,4.0,4.0,23,39,91,158,190,184,276,388,638,960,1429,2175,2411,3139,5196,7824,8825,5546.0,2250.0,0
Norway,B,2008,208,0,41716,163,16,16.0,5.0,4.0,28,31,116,172,186,194,293,420,584,968,1374,2270,2464,3129,5066,7530,8686,5713.0,2288.0,0
Norway,B,2009,208,0,41342,196,13,9.0,8.0,6.0,32,30,124,153,188,201,297,415,587,997,1400,2240,2537,3078,4708,7191,8879,5699.0,2354.0,0
Norway,B,2010,208,0,41442,157,18,3.0,7.0,3.0,28,31,100,182,197,188,241,396,595,959,1416,2276,2734,3175,4643,6992,8557,6063.0,2481.0,0
Norway,B,2011,208,0,41304,140,12,4.0,9.0,9.0,20,33,153,170,172,223,268,382,644,897,1438,2126,2805,3139,4509,6786,8488,6375.0,2502.0,0
Norway,B,2012,208,0,41913,150,18,7.0,7.0,3.0,25,38,77,138,145,186,256,377,573,913,1346,2137,3021,3284,4398,6855,8333,6827.0,2799.0,0
Norway,B,2013,208,0,41178,143,14,8.0,5.0,5.0,20,16,88,143,159,190,256,397,567,892,1435,2032,3176,3313,4368,6489,8112,6543.0,2807.0,0
Norway,B,2014,208,0,40344,143,10,8.0,5.0,6.0,25,21,69,135,164,190,247,345,575,907,1295,1928,3077,3369,4321,6242,7658,6815.0,2789.0,0
South Africa,A,2007,309,0,34792,39,37,31.0,30.0,31.0,108,96,184,337,531,936,1289,1851,2548,3283,3892,3949,4272,3849,3301,2224,1389,411.0,153.0,21
South Africa,A,2008,309,6,34697,37,119,,,,114,108,214,297,575,982,1321,1743,2409,3257,3966,4074,4298,3728,3329,2231,1882,,,13
South Africa,A,2009,309,0,35905,39,32,29.0,27.0,29.0,129,136,214,285,645,944,1405,1809,2559,3354,4033,4227,4429,3850,3322,2370,1331,499.0,177.0,31
South Africa,A,2010,309,0,36340,39,33,41.0,43.0,44.0,110,122,195,304,588,907,1330,1749,2638,3416,4026,4435,4329,4201,3309,2475,1327,516.0,142.0,21
South Africa,A,2011,309,0,37500,77,47,41.0,33.0,34.0,111,102,195,312,606,901,1364,1762,2588,3553,4079,4675,4373,4395,3430,2619,1408,594.0,142.0,59
South Africa,A,2012,309,0,38460,64,46,32.0,40.0,44.0,136,109,218,329,674,1028,1394,1894,2565,3592,4184,4815,4479,4524,3514,2541,1390,624.0,132.0,92
South Africa,A,2013,309,0,38034,38,33,36.0,38.0,29.0,135,108,196,321,571,950,1343,1829,2599,3445,4283,4679,4609,4420,3445,2684,1437,591.0,161.0,54
South Africa,A,2014,309,0,39143,36,42,26.0,25.0,25.0,137,138,176,298,574,971,1396,1877,2551,3574,4374,5021,4807,4510,3623,2693,1486,574.0,166.0,43
South Africa,B,2007,309,0,601133,46546,8537,3247.0,1675.0,1323.0,5347,4127,9038,24588,42901,57267,54061,48125,42609,38374,35887,30841,33658,29524,29543,21754,18501,7552.0,4893.0,1215
South Africa,B,2008,309,6,592073,45316,15332,,,,4998,4098,8928,23478,41789,53809,53204,46072,42162,38132,36399,31515,33522,29339,29641,22806,30565,,,968
South Africa,B,2009,309,0,572673,37974,7342,2577.0,1466.0,1112.0,4313,4397,8697,21434,38792,48446,49396,43743,41147,37940,36426,33189,33507,30783,30167,24614,17154,9709.0,7059.0,1289
South Africa,B,2010,309,0,543856,34431,7540,2617.0,1562.0,1268.0,4573,4494,8295,19910,35613,43427,44728,40580,38936,36863,34945,34548,31613,32241,27690,25961,16164,10129.0,4577.0,1151
South Africa,B,2011,309,0,514486,28574,5546,2195.0,1346.0,1057.0,4400,3903,7708,17572,31259,37576,40074,36515,35964,35533,34666,35423,31291,33385,28215,26712,17176,11530.0,4265.0,2601
South Africa,B,2012,309,0,491100,27055,5269,2272.0,1644.0,1371.0,4869,4143,7525,16257,28860,34283,36365,33791,32863,33499,33388,34494,30821,32471,28258,26608,16879,11161.0,4100.0,2854
South Africa,B,2013,309,0,458933,25993,5008,1870.0,1198.0,1025.0,3382,3261,7066,14871,25068,30817,31913,31480,30324,31705,31879,33923,29776,31656,27381,25552,17297,10121.0,4584.0,1783
South Africa,B,2014,309,0,453360,25643,5056,1751.0,1027.0,785.0,3143,3092,7002,13967,23101,29819,29818,29966,29077,31425,32017,34855,31721,31316,28053,25576,18546,10202.0,5233.0,1169
Sweden,A,2007,208,0,22631,6,3,4.0,2.0,5.0,10,9,23,21,37,47,103,206,360,644,1222,2113,2498,2799,3708,4008,3211,1295.0,297.0,0
Sweden,A,2008,208,0,22555,1,3,0.0,2.0,5.0,7,12,18,22,38,59,110,222,331,716,1143,2143,2570,2851,3441,3881,3290,1389.0,301.0,0
Sweden,A,2009,208,0,22455,3,8,4.0,8.0,2.0,16,13,10,25,29,60,126,206,360,645,1109,2067,2612,2994,3433,3771,3332,1286.0,336.0,0
Sweden,A,2010,208,0,22449,5,0,1.0,2.0,4.0,11,8,24,22,31,48,90,193,331,581,1065,2059,2742,2964,3454,3746,3321,1409.0,338.0,0
Sweden,A,2011,208,0,22739,6,5,1.0,3.0,3.0,14,10,20,23,37,53,126,181,356,597,1049,1924,2913,3080,3364,3745,3344,1557.0,328.0,0
